id_fazenda,nome_fazenda,estado,hectares,responsavel,data_cadastro
1,Sá Santos - EI,SP,1176,Nathan Barros,2023-05-15
2,da Rocha e Filhos,SP,910,Dr. João Pedro Casa Grande,2024-03-04
3,Novaes,MT,1344,Giovanna Dias,2025-07-18
4,Moraes,MG,1180,Dante Correia,2022-10-30
5,Pereira e Filhos,MG,1145,Letícia Pastor,2023-08-16
6,Aragão Monteiro - ME,MG,1094,Vinícius Andrade,2023-02-12
7,Pacheco,SP,171,Vitor Pacheco,2025-06-30
8,Cardoso,RS,516,Anna Liz Viana,2023-11-04
9,Silva,SP,1288,Manuela Moraes,2024-12-24
10,Martins,RS,380,Diogo Caldeira,2024-11-07
11,Macedo,GO,137,Luana Gomes,2022-11-29
12,Pereira - EI,SP,1446,Clara Pires,2024-11-19
13,Macedo Marques - EI,SP,1173,Dra. Maria Flor Gomes,2023-10-05
14,Costa,SP,921,Alice Mendonça,2024-10-28
15,Fogaça,MG,180,Dr. Isaac Azevedo,2023-10-25
16,Barros,MG,1382,Dr. Matheus Souza,2025-06-10
17,Nogueira - ME,RS,819,João Lucas Pacheco,2025-04-29
18,Lima,RS,393,Manuella Correia,2024-08-15
19,da Rocha,SP,1487,Luiz Henrique Alves,2022-09-29
20,Almeida,RS,855,Maria Vitória Lima,2023-04-17
