id_fazenda,data_visita,tecnico,motivo,recomendacao
1,2025-07-29,Cecília Cunha,Recomendação nutricional,Necessitatibus ab ullam fuga assumenda pariatur et fuga quasi.
1,2025-07-29,Bruna Montenegro,Verificação de pragas,A delectus quasi nesciunt corporis.
1,2025-07-29,Léo Araújo,Recomendação nutricional,Laborum quam cupiditate voluptatem ratione.
1,2025-07-29,Thomas Moura,Verificação de pragas,Optio modi vero rem quis.
2,2025-07-29,José Moreira,Análise de solo,At ducimus autem iusto illum asperiores incidunt eveniet.
2,2025-07-29,Yan Rios,Recomendação nutricional,Nobis perferendis repudiandae iure nobis delectus nemo maiores aliquid.
2,2025-07-29,Mirella Gonçalves,Recomendação nutricional,Impedit accusamus eaque dolor enim debitis.
3,2025-07-29,Sr. Eduardo Sampaio,Análise de solo,Deserunt esse molestiae distinctio sapiente perspiciatis tenetur dignissimos.
3,2025-07-29,Aylla Oliveira,Verificação de pragas,Doloribus repellat adipisci harum inventore impedit expedita ad.
3,2025-07-29,Maitê Peixoto,Análise de solo,Voluptatibus aperiam exercitationem eius in ullam ullam nemo at.
3,2025-07-29,Dra. Cecilia Abreu,Revisão de sensores,Reprehenderit ea culpa corrupti corrupti culpa praesentium non.
3,2025-07-29,Sr. Luan Marques,Análise de solo,Magnam excepturi libero voluptatum optio a natus nobis.
4,2025-07-29,Luiz Miguel Andrade,Revisão de sensores,Nisi excepturi dolorem natus quod dolore assumenda autem.
4,2025-07-29,Emanuel Sousa,Análise de solo,Perferendis quae quasi corporis tempora occaecati.
5,2025-07-29,Matheus Santos,Revisão de sensores,Velit corporis suscipit laudantium labore recusandae illo aperiam officiis.
5,2025-07-29,Danilo Sousa,Revisão de sensores,Ipsam corrupti aliquam ullam natus nam ab blanditiis exercitationem.
6,2025-07-29,Bryan Andrade,Revisão de sensores,Unde doloribus cum facere.
6,2025-07-29,João Gabriel Oliveira,Recomendação nutricional,Laborum ipsam ipsa at nesciunt libero vel omnis dignissimos maxime.
6,2025-07-29,Davi Lucas Fonseca,Recomendação nutricional,Praesentium et corrupti quibusdam minus sed.
7,2025-07-29,Maria Liz Melo,Verificação de pragas,Eaque quis corrupti impedit eum.
7,2025-07-29,Isadora Porto,Análise de solo,Veritatis vitae facere molestias.
7,2025-07-29,Melina Andrade,Revisão de sensores,Non repellendus architecto inventore.
